X,HEIGHT_C,HEIGHT_R,llv2000,llv2009,llv1990
-19.2,,15.0,1.4756932,2.1254377,0.9650809
-18.02,,34.0,2.1830177,3.518051,1.7578579
-17.83,,19.0,2.0084503,3.3531578,1.5892352
-17.57,,21.0,2.0175,3.282341,1.4663371
-17.19,,15.0,2.0372372,3.3474526,1.609438
-17.13,,16.0,2.0551903,3.37086,1.609438
-16.49,,20.0,,,
-16.43,,16.0,2.1892064,3.640767,1.7404661
-16.33,,16.0,2.378012,3.6962554,1.7227666
-16.32,,25.0,2.410568,3.7501843,1.7917595
-16.31,,28.0,2.4283776,3.7861295,1.856298
-15.73,,23.0,0.8204773,1.378987,-0.040822018
-15.66,,21.0,1.7846656,2.8593225,0.9650809
-15.24,,24.0,1.5128148,2.278761,0.37156358
-15.09,,18.0,1.9324727,3.0602381,1.0986123
-14.63,,15.0,1.5367776,2.3678503,0.38014728
-14.01,,15.0,2.5966153,4.1595554,2.2407095
-13.3,,15.0,2.593042,4.1189895,2.2407095
-13.29,,38.0,2.80132,4.583328,2.6390574
-13.28,,27.0,,,
-13.27,,19.0,2.721459,4.4445505,2.4849067
-13.14,,18.0,3.0206869,4.785676,2.7725887
-12.92,,18.0,2.879217,4.523162,2.6390574
-12.73,,17.0,2.8721437,4.503492,2.6390574
-12.64,,22.0,2.9063241,4.5247135,2.6390574
-12.24,,15.0,2.656522,4.1192102,2.3025851
-12.22,,27.0,2.814608,4.3385267,2.4849067
-12.15,,22.0,2.8232815,4.3324747,2.4849067
-12.11,,18.0,1.8348584,2.7362297,0.7419373
-12.02,,24.0,,,
-11.94,,37.0,2.9642596,4.70893,2.8903718
-11.93,,14.0,2.9573734,4.482451,2.6390574
-11.86,,14.0,2.9573734,4.482451,2.6390574
-11.81,,14.0,2.9573734,4.482451,2.6390574
-11.8,,36.0,3.0408363,4.606159,2.7725887
-11.74,,22.0,3.0872247,4.6456733,2.8134108
-11.72,,22.0,3.0872247,4.6456733,2.8134108
-11.7,,21.0,2.969982,4.4778304,2.6390574
-11.66,,22.0,3.0872247,4.6456733,2.8134108
-11.6,,20.0,3.0311136,4.533113,2.6855774
-11.41,,27.0,3.0154312,4.485278,2.6390574
-11.32,,27.0,3.0154312,4.485278,2.6390574
-11.3,,14.0,2.404654,3.6328514,1.856298
-10.95,,26.0,2.8030849,4.048376,2.0794415
-8.92,,15.0,2.3608816,3.2436936,1.0986123
-8.79,,15.0,2.6229527,3.5431206,1.5686159
-8.1,,24.0,2.7794142,3.671692,1.7917595
-7.93,,24.0,2.751196,3.6265318,1.704748
-7.76,,25.0,2.7175694,3.578125,1.609438
-6.93,,21.0,2.8721187,3.6401966,1.609438
-6.88,,21.0,2.7489502,3.680539,1.609438
-6.5,,21.0,2.9088795,3.6623669,1.609438
-6.37,,25.0,2.756588,3.6979835,1.5040774
-6.34,,21.0,2.9287798,3.6717684,1.609438
-6.16,,21.0,2.9803765,3.6965058,1.658228
-6.13,,22.0,2.8667243,3.699315,1.3862944
-6.01,,21.0,3.0011585,3.704666,1.658228
-5.84,,21.0,3.0418358,3.7223337,1.658228
-5.81,,22.0,2.8706613,3.6406686,1.3862944
-5.69,,28.0,2.960211,3.7069323,1.5040774
-5.58,,25.0,2.9901102,3.772646,1.4663371
-4.43,,35.0,3.778975,4.2371187,2.4849067
-4.34,,28.0,,,
-4.3,,26.0,3.808995,4.251219,2.4849067
-4.14,,30.0,3.8334634,4.255231,2.4849067
-3.98,,30.0,3.9968498,4.2642503,2.730029
-3.93,,19.0,3.881921,4.2662086,2.4849067
-3.83,,23.0,3.926691,4.2223577,2.6741486
-3.67,,34.0,,,
-3.65,,23.0,4.0200458,4.2972884,2.6741486
-3.62,,32.0,3.6027515,4.0871625,1.974081
-3.54,,44.0,,,
-3.49,,32.0,4.0439186,4.3116126,2.6741486
-3.42,,24.0,3.9645436,4.305332,2.4849067
-3.34,,14.0,3.661936,4.1235976,1.974081
-3.26,,17.0,3.8814123,4.1883163,2.2512918
-3.24,,23.0,3.9638731,4.254313,2.3749058
-3.19,,14.0,4.092007,4.3416386,2.6741486
-3.1,,17.0,4.159025,4.356071,2.6390574
-3.08,,26.0,4.025792,4.3216147,2.4849067
-2.85,,28.0,4.305589,4.4295087,2.7880929
-2.75,,34.0,4.2063084,4.418578,2.6946273
-2.72,,21.0,4.389448,4.375246,3.0445225
-2.69,,25.0,,,
-2.68,,19.0,,,
-2.64,,20.0,4.3897853,4.4362864,3.0445225
-2.62,,21.0,4.2810345,4.4568105,2.7725887
-2.59,,15.0,4.475473,4.53848,3.0445225
-2.57,,26.0,4.4657006,4.540635,3.0445225
-2.52,,40.0,4.313145,4.4828258,2.7725887
-2.51,,19.0,4.4406033,4.499404,2.9177706
-2.5,,38.0,4.4657006,4.540635,3.0445225
-2.49,,14.0,4.475473,4.53848,3.0445225
-2.38,,30.0,4.4761806,4.5547304,2.9957323
-2.35,,54.0,4.492475,4.4230084,3.0445225
-2.34,,62.0,4.486995,4.3869786,3.0445225
-2.26,,47.0,4.664449,4.634048,3.218876
-2.14,,43.0,5.0024543,4.822649,3.6888795
-2.1,,34.0,5.0024543,4.822649,3.6888795
-2.07,,24.0,5.030744,4.788662,3.6408703
-2.01,,37.0,,,
-1.98,15.0,,2.255881,2.8847716,0.8109302
-1.93,,40.0,,,
-1.9,,20.0,5.303257,4.9735456,4.051785
-1.88,,23.0,4.7021947,4.6047564,3.068053
-1.81,,30.0,5.118312,4.8335757,3.6888795
-1.8,,80.0,,,
-1.75,,20.0,5.3798585,4.99663,4.0943446
-1.72,,17.0,5.42027,1.1349479,3.2580965
-1.69,,33.0,5.3798585,4.99663,4.0943446
-1.63,,46.0,,,
-1.61,,27.0,5.1696825,4.86062,3.7239707
-1.57,,17.0,5.6905813,1.2363154,3.6018682
-1.55,,28.0,4.7558045,4.6394386,3.068053
-1.45,,34.0,5.8637047,1.3390908,3.8066626
-1.33,,22.0,5.538365,5.059723,4.1484118
-1.32,,31.0,5.967371,1.4091061,3.912023
-1.23,,18.0,3.7019598,4.3735642,2.0794415
-1.22,14.0,,5.546627,5.0458384,4.1271343
-1.2,,14.0,5.546627,5.0458384,4.1271343
-1.17,,16.0,5.426754,5.0003767,3.9796817
-1.09,14.0,,6.055637,5.318682,4.7229533
-1.05,39.0,,6.686082,5.571452,5.616771
-1.03,,16.0,5.8648667,5.2391653,4.5339427
-0.99,17.0,19.0,6.262459,5.4411182,4.97097
-0.96,17.0,,6.2248607,5.1667724,5.0189342
-0.94,17.0,46.0,7.715632,5.609535,6.214608
-0.9,23.0,,6.7655244,5.609535,5.713261
-0.89,,15.0,5.463654,5.144963,3.912023
-0.87,20.0,,7.121601,5.798968,6.1092477
-0.85,,20.0,6.728171,5.4356046,5.669881
-0.83,65.0,,7.7925835,5.5892744,6.263398
-0.82,44.0,,7.10632,5.79428,6.1092477
-0.8,16.0,,6.728171,5.4356046,5.669881
-0.78,44.0,,7.4169393,5.933478,6.4769726
-0.77,15.0,,6.049157,5.341348,4.6459923
-0.76,55.0,,7.7925835,5.798968,6.263398
-0.74,37.0,,6.55792,5.613103,5.521461
-0.73,24.0,,6.55792,5.613103,5.521461
-0.7,16.0,,6.4538856,5.573552,5.2983174
-0.69,,18.0,5.8354588,5.258944,4.339467
-0.68,19.0,,6.9946084,5.732129,5.857933
-0.67,27.0,,7.288382,5.885372,6.294651
-0.66,20.0,,7.304563,5.918376,6.363028
-0.65,17.0,,6.538384,5.6200366,5.452468
-0.63,35.0,,7.125132,5.8560777,6.1708055
-0.61,16.0,,7.2608814,5.8718405,6.3397713
-0.6,108.0,,8.031983,2.6210797,6.4897113
-0.59,22.0,,6.657782,5.6228094,5.521461
-0.58,,21.0,5.759655,5.29079,4.248495
-0.57,41.0,,7.995764,6.0387506,6.6200733
-0.54,22.0,,6.683779,5.7013073,5.616771
-0.53,19.0,,6.657782,5.6228094,5.521461
-0.5,19.0,,6.386594,5.509071,5.0271645
-0.49,39.0,,7.995764,5.906017,6.437752
-0.48,45.0,,7.524657,6.0387506,6.6200733
-0.47,70.0,,8.031983,5.9991446,6.6200733
-0.46,20.0,,6.683779,5.7013073,5.616771
-0.44,49.0,32.0,6.7767205,5.750927,5.7037826
-0.42,17.0,,6.7767205,5.750927,5.7037826
-0.4,43.0,,7.578303,6.067618,6.6200733
-0.39,60.0,,8.065136,6.025672,6.6200733
-0.38,29.0,,7.5601683,6.071957,6.6200733
-0.37,23.0,,7.5601683,6.067618,6.6200733
-0.36,20.0,,7.5601683,6.067618,6.6200733
-0.34,16.0,,6.7767205,5.750927,5.7037826
-0.32,22.0,49.0,7.5940514,6.099167,6.6200733
-0.31,45.0,,8.027986,6.118558,6.6635585
-0.3,15.0,19.0,6.793198,5.7646213,5.646624
-0.29,60.0,,8.115468,6.118558,6.6635585
-0.28,30.0,49.0,7.5940514,6.099167,6.6200733
-0.27,15.0,,6.793198,5.7646213,5.646624
-0.26,21.0,,7.0795665,5.804214,5.857933
-0.24,,73.0,6.8126574,5.7554154,5.7037826
-0.23,,49.0,6.5298367,5.605724,5.164786
-0.22,16.0,50.0,7.5940514,6.099167,6.6200733
-0.21,40.0,,8.115468,6.0502787,6.514713
-0.2,125.0,,7.6114917,6.0769033,6.684612
-0.19,112.0,49.0,8.134844,6.118558,6.6635585
-0.18,18.0,,7.4627767,6.0253067,6.4673104
-0.17,37.0,,7.6177983,6.081752,6.6200733
-0.16,21.0,,6.8381543,5.7017255,5.7037826
-0.15,38.0,,6.8884006,5.673626,5.809143
-0.11,44.0,,7.5736127,6.049406,6.539104
-0.1,50.0,,8.1346655,6.081752,6.6200733
-0.09,57.0,22.0,7.610777,6.0874505,6.6366024
-0.08,26.0,,7.6177983,6.081752,6.6200733
-0.07,45.0,,8.134844,2.775942,6.514713
-0.04,29.0,,6.866069,5.765601,5.646624
-0.03,,39.0,5.259697,5.0858517,3.5553482
-0.02,44.0,,7.496298,6.0741553,6.3969297
-0.01,25.0,50.0,8.084061,5.9973154,6.3969297
0.0,35.0,,7.4985085,6.0741553,6.437752
0.01,38.0,,7.4985085,6.0434394,6.437752
0.07,25.0,,7.4939275,6.0523953,6.3758764
0.08,17.0,20.0,7.5378456,6.076203,6.3969297
0.09,22.0,23.0,7.420663,5.993243,6.214608
0.1,23.0,19.0,8.225749,2.8237145,6.55108
0.11,39.0,,7.5378456,6.076203,6.3969297
0.13,18.0,,7.03197,5.7930713,5.7037826
0.15,21.0,,7.50579,6.040175,6.3969297
0.17,,17.0,5.7315855,5.280301,4.0943446
0.18,36.0,57.0,8.225749,5.993243,6.55108
0.19,22.0,21.0,7.5378456,6.076203,6.3969297
0.2,16.0,,6.940657,5.7805076,5.7037826
0.26,23.0,,7.2747917,5.9577045,6.0402546
0.27,30.0,40.0,8.247625,5.4070854,6.55108
0.28,54.0,44.0,7.4580317,6.0030484,6.2869287
0.29,50.0,64.0,8.130535,5.998003,6.3969297
0.31,37.0,,7.48882,6.068615,6.3099184
0.32,60.0,18.0,6.983327,5.773019,5.616771
0.33,45.0,,,,
0.35,83.0,55.0,7.0027237,5.6557436,5.845957
0.37,64.0,42.0,8.116822,6.022021,6.35437
0.4,24.0,56.0,6.9936996,5.720064,5.8028736
0.46,46.0,47.0,8.116822,6.0084434,6.35437
0.47,40.0,42.0,7.451424,6.022021,6.214608
0.48,25.0,,6.963566,5.720064,5.7037826
0.49,,30.0,6.5529447,5.0415897,5.358942
0.5,,65.0,,,
0.52,25.0,,7.04053,5.6187344,5.839915
0.53,46.0,60.0,8.143735,5.9557786,6.3687587
0.54,49.0,86.0,7.5028954,6.000609,6.30422
0.55,41.0,,7.6099906,6.0653048,6.3969297
0.56,,51.0,6.5773234,5.010848,5.358942
0.6,32.0,,6.951442,5.66981,5.7446046
0.62,24.0,36.0,7.097565,5.752205,5.857933
0.63,,45.0,6.5773234,5.010848,5.358942
0.64,,76.0,,,
0.65,28.0,,6.752905,5.5146446,5.521461
0.66,,45.0,6.5853314,5.3892627,5.358942
0.68,,38.0,6.7680774,5.653796,5.2793894
0.69,,80.0,6.752905,5.5146446,5.521461
0.7,41.0,22.0,7.272819,5.6964054,6.129867
0.72,,37.0,5.4873285,5.1018987,3.7094986
0.74,30.0,61.0,7.6630855,5.656129,5.7578497
0.75,34.0,,7.272819,5.6964054,6.129867
0.79,60.0,61.0,7.5517774,2.4189186,5.646624
0.8,35.0,16.0,7.670441,5.237548,5.7709217
0.81,24.0,36.0,7.6522145,4.7242484,5.7037826
0.84,25.0,,7.6512957,2.589197,5.7037826
0.86,52.0,37.0,7.5517774,4.7459173,5.646624
0.87,,41.0,5.5872474,5.107289,3.7926762
0.88,15.0,50.0,7.633428,4.763223,5.6827292
0.89,44.0,,7.670441,2.3418543,5.7709217
0.91,,98.0,7.0760403,5.631054,5.7838254
0.93,,40.0,6.905585,1.4857105,4.959342
0.95,,32.0,6.885692,1.4157033,4.959342
0.96,,27.0,6.884148,0.89316994,4.959342
0.97,27.0,,8.024278,5.551526,6.3397713
0.99,35.0,,7.236699,1.8756833,5.2983174
1.01,,70.0,,,
1.02,,45.0,6.5960317,5.4979196,5.075174
1.03,,50.0,6.824015,5.579387,5.3936276
1.04,37.0,107.0,8.024278,2.1850128,6.3397713
1.1,,49.0,6.759152,5.591107,5.353042
1.11,34.0,,7.3566537,1.9472555,5.452468
1.12,,43.0,6.51311,2.1858997,4.241327
1.15,36.0,50.0,8.007705,2.1930962,6.3099184
1.17,,61.0,6.2394257,4.981292,4.959342
1.19,,34.0,5.9779415,5.2240944,4.276666
1.22,,36.0,6.3448086,5.317926,4.841559
1.23,24.0,47.0,7.071012,5.578937,5.8289456
1.25,,49.0,6.5584865,5.3331165,5.2983174
1.26,,77.0,6.927963,5.2937675,5.2983174
1.27,30.0,58.0,6.572139,5.3866653,5.2983174
1.28,16.0,70.0,7.071012,5.578937,5.8289456
1.32,,21.0,6.0556126,5.2680306,4.3820267
1.33,,28.0,6.001144,5.32048,4.3201513
1.34,,57.0,6.4170866,5.399252,4.9359117
1.35,,33.0,6.739129,5.544576,5.4049273
1.36,,29.0,6.2876205,5.000637,5.0106354
1.37,,78.0,6.0625396,5.3301687,4.3820267
1.38,32.0,58.0,6.3064995,5.4379463,4.9416423
1.39,,55.0,6.292431,5.11068,4.9416423
1.4,,26.0,6.739129,5.544576,5.4049273
1.41,,50.0,6.3064995,5.1628075,4.9416423
1.42,,38.0,6.2581615,5.016435,4.9416423
1.45,,22.0,6.338422,5.41626,4.8202815
1.47,,41.0,6.486728,5.4241695,5.1357985
1.48,,50.0,6.2911553,5.249266,4.9416423
1.49,,47.0,6.39081,4.530625,5.115996
1.5,,18.0,6.3516107,1.845225,4.0253515
1.51,70.0,58.0,6.3073983,5.4454107,4.9416423
1.52,27.0,,6.908176,5.6450515,5.6347895
1.53,,46.0,6.3073983,5.287003,4.9416423
1.54,,51.0,6.39081,5.249266,5.115996
1.55,,27.0,6.343243,2.1903634,4.0253515
1.56,,29.0,6.2519746,5.4454107,4.7004805
1.57,23.0,,,,
1.58,,49.0,6.43458,5.418489,4.9698133
1.59,18.0,28.0,6.9373226,5.682778,5.6813097
1.61,,25.0,6.373551,2.1903634,4.0253515
1.62,27.0,,6.543328,5.4876184,5.192957
1.63,58.0,56.0,7.137424,5.6719007,5.9401712
1.65,26.0,,6.543328,5.4876184,5.192957
1.67,,24.0,6.373551,1.8707436,4.0253515
