x,D,y,L,r_a,a_x_C,a_x_R,a_rand_C,a_rand_R,A_tilde_x_C,A_tilde_x_R,r_x_C,r_x_R,U,S_star_x_C,S_star_x_R,S_x_C,S_x_R,S_x,p_bar_x_C,p_bar_x_R,L_x_C,f_bar_x_R,n_x,URBAN,COM,SHADE,SHADEU,X,HEIGHT_C,HEIGHT_R,llv2000,llv2009,llv1990,_merge,CONVBIN,BHEIGHT_C,BHEIGHT_R,BS_x,BS_x_R,BS_x_C,r_x,lr_x,Bllv2000,Blr_x,TS_x,TS_x_C,comshare_CONVBIN,res
-20.0,20.0,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.683973,,,,,,,,,0.0,0.0,0.0,0.0,-20.0,,,,,,Master only (1),-20.0,,,,,,0.0,,,,0.0,0.0,,0.0
-19.99,19.99,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.690922,,,,,,,,,0.0,0.0,0.0,0.0,-19.99,,,,,,Master only (1),-20.0,,,,,,0.0,,,,0.0,0.0,,0.0
-19.98,19.98,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.697872,,,,,,,,,0.0,0.0,0.0,0.0,-19.98,,,,,,Master only (1),-20.0,,,,,,0.0,,,,0.0,0.0,,0.0
-19.97,19.97,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.704828,,,,,,,,,0.0,0.0,0.0,0.0,-19.97,,,,,,Master only (1),-20.0,,,,,,0.0,,,,0.0,0.0,,0.0
-19.96,19.96,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.711784,,,,,,,,,0.0,0.0,0.0,0.0,-19.96,,,,,,Master only (1),-20.0,,,,,,0.0,,,,0.0,0.0,,0.0
-19.95,19.95,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.718742,,,,,,,,,0.0,0.0,0.0,0.0,-19.95,,,,,,Master only (1),-20.0,,,,,,0.0,,,,0.0,0.0,,0.0
-19.94,19.94,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.725708,,,,,,,,,0.0,0.0,0.0,0.0,-19.94,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.93,19.93,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.732674,,,,,,,,,0.0,0.0,0.0,0.0,-19.93,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.92,19.92,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.739634,,,,,,,,,0.0,0.0,0.0,0.0,-19.92,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.91,19.91,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.746607,,,,,,,,,0.0,0.0,0.0,0.0,-19.91,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.9,19.9,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.753576,,,,,,,,,0.0,0.0,0.0,0.0,-19.9,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.89,19.89,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.760551,,,,,,,,,0.0,0.0,0.0,0.0,-19.89,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.88,19.88,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.76752,,,,,,,,,0.0,0.0,0.0,0.0,-19.88,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.87,19.87,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.774494,,,,,,,,,0.0,0.0,0.0,0.0,-19.87,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.86,19.86,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.781477,,,,,,,,,0.0,0.0,0.0,0.0,-19.86,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.85,19.85,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.788462,,,,,,,,,0.0,0.0,0.0,0.0,-19.85,,,,,,Master only (1),-19.9,,,,,,0.0,,,,0.0,0.0,,0.0
-19.84,19.84,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.795437,,,,,,,,,0.0,0.0,0.0,0.0,-19.84,,,,,,Master only (1),-19.8,,,,,,0.0,,,,0.0,0.0,,0.0
-19.83,19.83,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.802423,,,,,,,,,0.0,0.0,0.0,0.0,-19.83,,,,,,Master only (1),-19.8,,,,,,0.0,,,,0.0,0.0,,0.0
-19.82,19.82,2.10701,1.00469056e+06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,22.809416,,,,,,,,,0.0,0.0,0.0,0.0,-19.82,,,,,,Master only (1),-19.8,,,,,,0.0,,,,0.0,0.0,,0.0
